EventName,Date,Type,Start,End
Iron Man 9AM Tee Times,"Saturday, October 15, 2016",Tournament Events,9:00 AM,
3 Man Scramble 10 AM Shotgun,"Saturday, September 24, 2016",Tournament Events,10:00 AM,
Atlantic Jr Matchplay,"Tuesday, August 30, 2016",Tournament Events,1:00 PM,
Doug Downey Memorial,"Saturday, August 20, 2016",Tournament Events,9:00 AM,
Ladies Invitational 9 AM Shotgun,"Wednesday, July 20, 2016",Tournament Events,9:00 AM,
Christie/Brown Games,"Friday, July 29, 2016",Tournament Events,8:00 AM,
2 Man Scramble - 1 PM Shotgun,"Saturday, June 11, 2016",Tournament Events,1:00 PM,
Mixed Night,"Wednesday, September 7, 2016",Public Events,6:30 PM,
Mixed Night,"Wednesday, August 31, 2016",Public Events,6:30 PM,
Mixed Night,"Wednesday, August 17, 2016",Public Events,6:30 PM,
Mixed Night,"Wednesday, August 10, 2016",Public Events,6:30 PM,
Mixed Night,"Wednesday, August 3, 2016",Public Events,6:30 PM,
Mixed Night,"Wednesday, July 27, 2016",Public Events,6:30 PM,
Mixed Night,"Wednesday, July 20, 2016",Public Events,6:30 PM,
Mixed Night,"Wednesday, July 13, 2016",Public Events,6:30 PM,
Mixed Night,"Wednesday, July 6, 2016",Public Events,6:30 PM,
Member Shotgun - 8AM,"Saturday, August 27, 2016",Member Events,8:00 AM,
Ladies Get Acquainted - 9 Holes,"Saturday, May 28, 2016",Member Events,10:00 AM,
Mens Night,"Thursday, September 29, 2016",Member Events,3:00 PM,
Mens Night,"Thursday, September 22, 2016",Member Events,3:00 PM,
Ladies Closing Scramble,"Tuesday, September 20, 2016",Member Events,11:00 AM,
Member Shotgun 8:30 AM,"Saturday, September 17, 2016",Member Events,8:30 AM,
Mens Night,"Thursday, September 15, 2016",Member Events,3:00 PM,
Ladies Pin Round,"Thursday, September 15, 2016",Member Events,9:00 AM,
Ladies Harvest Field Day,"Monday, September 12, 2016",Member Events,10:00 AM,
Mens Night,"Thursday, September 8, 2016",Member Events,3:00 PM,
Ladies Pin Round,"Thursday, September 8, 2016",Member Events,9:00 AM,
Ladies Morning,"Tuesday, September 6, 2016",Member Events,9:00 AM,
Ladies Morning,"Tuesday, August 30, 2016",Member Events,9:00 AM,
Junior Club Championship,"Monday, August 29, 2016",Member Events,9:00 AM,
Carter's Senior Tee League,"Monday, August 22, 2016",Member Events,3:00 PM,
Mens Nigt,"Thursday, August 18, 2016",Member Events,3:00 PM,
Ladies Pin Round,"Thursday, August 18, 2016",Member Events,9:00 AM,
Junior Lessons,"Thursday, August 18, 2016",Member Events,8:00 AM,
Ladies Morning,"Tuesday, August 16, 2016",Member Events,9:00 AM,
Amherst Open,"Wednesday, August 24, 2016",Member Events,7:00 AM,
Carter's Senior Tee League,"Monday, August 15, 2016",Member Events,3:00 PM,
Mens & Ladies Club Championship,"Saturday, July 23, 2016",Member Events,7:00 AM,
Junior Morning,"Monday, August 15, 2016",Member Events,8:30 AM,
Ladies Morning,"Tuesday, August 23, 2016",Member Events,9:00 AM,
Junior Morning,"Monday, August 22, 2016",Member Events,8:30 AM,
Senior Club Championship,"Saturday, August 13, 2016",Member Events,8:00 AM,
Mens Night,"Thursday, August 11, 2016",Member Events,3:00 PM,
Ladies Pin Round,"Thursday, August 11, 2016",Member Events,9:00 AM,
Junior Lessons,"Thursday, August 11, 2016",Member Events,8:00 AM,
Ladies Morning,"Tuesday, August 9, 2016",Member Events,9:00 AM,
Carter's Senior Tee League,"Monday, August 8, 2016",Member Events,3:00 PM,
Junior Morning,"Monday, August 8, 2016",Member Events,8:30 AM,
Men's Night,"Thursday, August 4, 2016",Member Events,3:00 PM,
Ladies Pin Round,"Thursday, August 4, 2016",Member Events,9:00 AM,
Junior Lesson,"Thursday, August 4, 2016",Member Events,8:00 AM,
Ladies Morning,"Tuesday, August 2, 2016",Member Events,9:00 AM,
Carter's Senior Tee League,"Monday, August 1, 2016",Member Events,3:00 PM,
Mens Night,"Thursday, July 28, 2016",Member Events,3:00 PM,
Ladies Pin Round,"Thursday, July 28, 2016",Member Events,9:00 AM,
Junior Lessons,"Thursday, July 28, 2016",Member Events,8:00 AM,
Ladies Morning,"Tuesday, July 26, 2016",Member Events,9:00 AM,
Carter's Senior Tee League,"Monday, July 25, 2016",Member Events,3:00 PM,
Junior Morning,"Monday, July 25, 2016",Member Events,8:30 AM,
Mens Night,"Thursday, July 21, 2016",Member Events,3:00 PM,
Ladies Pin Round,"Thursday, July 21, 2016",Member Events,9:00 AM,
Junior Lessons,"Thursday, July 21, 2016",Member Events,8:00 AM,
Ladies Morning,"Tuesday, July 19, 2016",Member Events,9:00 AM,
Carter's Senior Tee League,"Monday, July 18, 2016",Member Events,3:00 PM,
Junior Morning,"Monday, July 18, 2016",Member Events,8:30 AM,
Member Shotgun 8AM,"Saturday, July 16, 2016",Member Events,8:00 AM,
Mens Night,"Thursday, July 14, 2016",Member Events,3:00 PM,
Ladies Pin Round,"Thursday, July 14, 2016",Member Events,9:00 AM,
Junior Lessons,"Thursday, July 14, 2016",Member Events,8:00 AM,
Ladies Morning,"Tuesday, July 12, 2016",Member Events,9:00 AM,
Carter's Senior Tee League,"Monday, July 11, 2016",Member Events,3:00 PM,
Junior Morning,"Monday, July 11, 2016",Member Events,8:30 AM,
Member Shotgun 8 AM,"Saturday, July 9, 2016",Member Events,8:00 AM,
Mens Night,"Thursday, July 7, 2016",Member Events,3:00 PM,
Ladies Pin Round,"Thursday, July 7, 2016",Member Events,9:00 AM,
Ladies Morning,"Tuesday, July 5, 2016",Member Events,9:00 AM,
Carter's Senior Tee League,"Monday, July 4, 2016",Member Events,3:00 PM,
Junior Lessons,"Thursday, July 7, 2016",Member Events,8:00 AM,
Mens Night,"Thursday, June 30, 2016",Member Events,3:00 PM,
Ladies Pin Round,"Thursday, June 30, 2016",Member Events,9:00 AM,
